number,value,datetime_start,datetime_complete,duration,params_D,params_F1,params_F2,params_batch_size,params_dropout,params_grad_clip,params_huber_delta,params_loss,params_lr,params_meanmax_alpha,params_norm,params_pool1,params_pool2,params_separable_kern,params_temporal_kern,params_weight_decay,user_attrs_fold_details,user_attrs_mean_best_val_nrmse,user_attrs_std_best_val_nrmse,state
0,0.9998296293630162,2026-05-25 22:31:44.980615,2026-05-25 22:36:32.913613,0 days 00:04:47.932998,1,4,8,2,0.2852620618436458,2.0,1.1515921243548266,huber,5.682837558512268e-05,0.25,group,4,16,63,127,1e-06,"[{'trial': 0, 'fold': 1, 'best_epoch': 18, 'best_val_loss': 0.21644993033260107, 'best_val_rmse': 0.6635315145161614, 'best_val_nrmse': 0.9968859122947815, 'best_val_mae': 0.5351021137265932, 'best_val_r2': 0.006218477868201178}, {'trial': 0, 'fold': 2, 'best_epoch': 14, 'best_val_loss': 0.37412287081990925, 'best_val_rmse': 0.9145182075376539, 'best_val_nrmse': 1.0115177405171871, 'best_val_mae': 0.6852729409223511, 'best_val_r2': -0.02316813938099549}, {'trial': 0, 'fold': 3, 'best_epoch': 19, 'best_val_loss': 0.26843852329660545, 'best_val_rmse': 0.7442257489349438, 'best_val_nrmse': 0.9945760046707542, 'best_val_mae': 0.6001497777602212, 'best_val_r2': 0.010818570933159855}, {'trial': 0, 'fold': 4, 'best_epoch': 37, 'best_val_loss': 0.344892055505798, 'best_val_rmse': 0.8625562595247206, 'best_val_nrmse': 1.0005389332963024, 'best_val_mae': 0.6473659466331204, 'best_val_r2': -0.0010781570417024433}, {'trial': 0, 'fold': 5, 'best_epoch': 3, 'best_val_loss': 0.33061666177077725, 'best_val_rmse': 0.8607328814187102, 'best_val_nrmse': 0.9956295560360555, 'best_val_mae': 0.6285854078067298, 'best_val_r2': 0.008721787147447091}]",0.9998296293630162,0.006910530243021106,COMPLETE
1,0.998557933702204,2026-05-25 22:36:33.079639,2026-05-25 22:44:33.520500,0 days 00:08:00.440861,4,4,24,8,0.6315517129377968,1.0,,mse,6.390259853593123e-05,0.0,group,16,8,63,127,1e-05,"[{'trial': 1, 'fold': 1, 'best_epoch': 16, 'best_val_loss': 0.4374250727040427, 'best_val_rmse': 0.6613811746782271, 'best_val_nrmse': 0.993655254150916, 'best_val_mae': 0.5248231433243269, 'best_val_r2': 0.012649235898278488}, {'trial': 1, 'fold': 2, 'best_epoch': 1, 'best_val_loss': 0.8228109166735694, 'best_val_rmse': 0.907089276080716, 'best_val_nrmse': 1.0033008500279188, 'best_val_mae': 0.683613515567101, 'best_val_r2': -0.006612595666744436}, {'trial': 1, 'fold': 3, 'best_epoch': 22, 'best_val_loss': 0.5493455583398993, 'best_val_rmse': 0.7411784823413542, 'best_val_nrmse': 0.9905036674287867, 'best_val_mae': 0.5939328999004581, 'best_val_r2': 0.018902484810123688}, {'trial': 1, 'fold': 4, 'best_epoch': 20, 'best_val_loss': 0.7535733921187264, 'best_val_rmse': 0.8680860531606465, 'best_val_nrmse': 1.0069533251284206, 'best_val_mae': 0.6507655300111288, 'best_val_r2': -0.013954998987182998}, {'trial': 1, 'fold': 5, 'best_epoch': 15, 'best_val_loss': 0.7449549003080889, 'best_val_rmse': 0.8631077072341261, 'best_val_nrmse': 0.9983765717749783, 'best_val_mae': 0.6334240203299983, 'best_val_r2': 0.003244220930841535}]",0.998557933702204,0.00674385306420771,COMPLETE
2,0.9896998011578184,2026-05-25 22:44:33.681423,2026-05-25 23:02:40.467910,0 days 00:18:06.786487,3,16,32,4,0.4553736512887828,2.0,,mse,0.0021662155489352167,0.0,group,16,8,31,127,0.001,"[{'trial': 2, 'fold': 1, 'best_epoch': 18, 'best_val_loss': 0.40626065716857, 'best_val_rmse': 0.6373858045036627, 'best_val_nrmse': 0.9576047486903514, 'best_val_mae': 0.5170173265394711, 'best_val_r2': 0.08299314528568913}, {'trial': 2, 'fold': 2, 'best_epoch': 4, 'best_val_loss': 0.8511425143196469, 'best_val_rmse': 0.922573820805618, 'best_val_nrmse': 1.020427782618187, 'best_val_mae': 0.6738861612975597, 'best_val_r2': -0.04127285953906967}, {'trial': 2, 'fold': 3, 'best_epoch': 4, 'best_val_loss': 0.5608058029955084, 'best_val_rmse': 0.7488697014300348, 'best_val_nrmse': 1.0007821373194274, 'best_val_mae': 0.6049792539243671, 'best_val_r2': -0.0015648863776414057}, {'trial': 2, 'fold': 4, 'best_epoch': 25, 'best_val_loss': 0.6858611333937872, 'best_val_rmse': 0.8281673338258185, 'best_val_nrmse': 0.9606488291366685, 'best_val_mae': 0.6663288011526068, 'best_val_r2': 0.07715382707834795}, {'trial': 2, 'fold': 5, 'best_epoch': 8, 'best_val_loss': 0.7609465403312986, 'best_val_rmse': 0.872322476778935, 'best_val_nrmse': 1.0090355080244577, 'best_val_mae': 0.6359926476566629, 'best_val_r2': -0.018152656454175187}]",0.9896998011578184,0.028787792324713596,COMPLETE
3,0.9880400651165253,2026-05-25 23:02:40.626840,2026-05-25 23:29:16.040869,0 days 00:26:35.414029,3,16,8,4,0.26876047207299664,5.0,1.3807456517566499,huber,4.3546443213875336e-05,0.25,group,8,16,15,31,1e-06,"[{'trial': 3, 'fold': 1, 'best_epoch': 40, 'best_val_loss': 0.21231897951968545, 'best_val_rmse': 0.6518554156765286, 'best_val_nrmse': 0.9793438088842464, 'best_val_mae': 0.5194176454984006, 'best_val_r2': 0.04088570400009661}, {'trial': 3, 'fold': 2, 'best_epoch': 21, 'best_val_loss': 0.38053088244937716, 'best_val_rmse': 0.8956561894476377, 'best_val_nrmse': 0.9906550985678502, 'best_val_mae': 0.6802917316201187, 'best_val_r2': 0.01860247568152318}, {'trial': 3, 'fold': 3, 'best_epoch': 18, 'best_val_loss': 0.26331402225927875, 'best_val_rmse': 0.728582198397292, 'best_val_nrmse': 0.9736701168875531, 'best_val_mae': 0.5847472629340534, 'best_val_r2': 0.051966503480178505}, {'trial': 3, 'fold': 4, 'best_epoch': 40, 'best_val_loss': 0.35058800947098506, 'best_val_rmse': 0.8513025432110143, 'best_val_nrmse': 0.9874849658689032, 'best_val_mae': 0.6329054108244323, 'best_val_r2': 0.024873442182891004}, {'trial': 3, 'fold': 5, 'best_epoch': 19, 'best_val_loss': 0.35868001576851716, 'best_val_rmse': 0.8723318371437179, 'best_val_nrmse': 1.0090463353740735, 'best_val_mae': 0.65677893970331, 'best_val_r2': -0.0181745069318473}]",0.9880400651165253,0.013514161182073076,COMPLETE
4,0.9964176698000514,2026-05-25 23:29:16.203802,2026-05-25 23:53:26.684172,0 days 00:24:10.480370,4,16,32,4,0.6460232775885566,2.0,,mse,0.00016596864474821183,0.1,group,8,8,15,127,1e-06,"[{'trial': 4, 'fold': 1, 'best_epoch': 6, 'best_val_loss': 0.41025235411888433, 'best_val_rmse': 0.6405094495667527, 'best_val_nrmse': 0.96229769497893, 'best_val_mae': 0.5151033921255952, 'best_val_r2': 0.0739831462382381}, {'trial': 4, 'fold': 2, 'best_epoch': 10, 'best_val_loss': 0.8345027196974981, 'best_val_rmse': 0.9135112116025419, 'best_val_nrmse': 1.0104039362816901, 'best_val_mae': 0.6830184413563638, 'best_val_r2': -0.020916114453533696}, {'trial': 4, 'fold': 3, 'best_epoch': 34, 'best_val_loss': 0.574359121647748, 'best_val_rmse': 0.7578648364261125, 'best_val_nrmse': 1.0128031476629638, 'best_val_mae': 0.6071753713132982, 'best_val_r2': -0.025770215916006922}, {'trial': 4, 'fold': 4, 'best_epoch': 11, 'best_val_loss': 0.7245794733365377, 'best_val_rmse': 0.8512223515504264, 'best_val_nrmse': 0.9873919459903064, 'best_val_mae': 0.6511156241010342, 'best_val_r2': 0.025057144993475666}, {'trial': 4, 'fold': 5, 'best_epoch': 8, 'best_val_loss': 0.7611819993365895, 'best_val_rmse': 0.8724574408596903, 'best_val_nrmse': 1.0091916240863672, 'best_val_mae': 0.6351941642351449, 'best_val_r2': -0.018467734126079716}]",0.9964176698000514,0.02163856404133625,COMPLETE
5,0.9916637097690908,2026-05-25 23:53:26.843694,2026-05-25 23:59:17.569358,0 days 00:05:50.725664,4,4,48,2,0.5249819653888825,0.5,,mse,8.518527208506256e-05,0.25,group,16,16,63,63,1e-06,"[{'trial': 5, 'fold': 1, 'best_epoch': 17, 'best_val_loss': 0.42015208258609554, 'best_val_rmse': 0.6481913944999934, 'best_val_nrmse': 0.973839004646122, 'best_val_mae': 0.5137565712488833, 'best_val_r2': 0.05163759302985027}, {'trial': 5, 'fold': 2, 'best_epoch': 9, 'best_val_loss': 0.8179349870908827, 'best_val_rmse': 0.9043975861020577, 'best_val_nrmse': 1.0003236625395295, 'best_val_mae': 0.6874414257527817, 'best_val_r2': -0.0006474298364986808}, {'trial': 5, 'fold': 3, 'best_epoch': 10, 'best_val_loss': 0.5532002038407055, 'best_val_rmse': 0.7437742874834717, 'best_val_nrmse': 0.9939726760069577, 'best_val_mae': 0.5940581266768277, 'best_val_r2': 0.012018319351567497}, {'trial': 5, 'fold': 4, 'best_epoch': 2, 'best_val_loss': 0.7240230199836549, 'best_val_rmse': 0.8508954160807988, 'best_val_nrmse': 0.98701271082457, 'best_val_mae': 0.6548836415278769, 'best_val_r2': 0.025805908670733735}, {'trial': 5, 'fold': 5, 'best_epoch': 14, 'best_val_loss': 0.752126182154329, 'best_val_rmse': 0.867252107305365, 'best_val_nrmse': 1.0031704948282747, 'best_val_mae': 0.6269630846906115, 'best_val_r2': -0.006351041694005355}]",0.9916637097690908,0.01174823511612296,COMPLETE
6,1.0155132080363858,2026-05-25 23:59:17.726543,2026-05-25 23:59:55.898713,0 days 00:00:38.172170,4,4,24,8,0.4771770262557003,0.5,,mse,0.0007538357125084303,0.0,group,8,8,7,63,0.001,,,,PRUNED
7,0.9839683202655315,2026-05-25 23:59:56.056184,2026-05-26 00:00:57.021908,0 days 00:01:00.965724,1,16,24,8,0.6224376554847273,2.0,0.2588952127036579,huber,0.0005319887413489144,0.1,group,4,4,7,95,1e-06,,,,PRUNED
8,1.0209058761187357,2026-05-26 00:00:57.182222,2026-05-26 00:02:49.508515,0 days 00:01:52.326293,1,12,32,2,0.4747644411618677,1.0,,mse,2.2605167783116893e-05,0.1,group,8,8,63,63,0.0,,,,PRUNED
9,0.9891763413532986,2026-05-26 00:02:49.665909,2026-05-26 00:05:23.382074,0 days 00:02:33.716165,3,16,8,4,0.6964823980596502,1.0,1.481801382969732,huber,0.0003623237013041106,0.25,group,16,8,31,127,0.001,,,,PRUNED
10,1.0302880417581803,2026-05-26 00:05:23.540681,2026-05-26 00:08:03.575511,0 days 00:02:40.034830,2,8,16,4,0.20615558478246873,5.0,0.8153255178910692,huber,1.0733195515883154e-05,0.5,group,8,16,15,31,0.0001,,,,PRUNED
11,0.9978973786931938,2026-05-26 00:08:03.733842,2026-05-26 00:10:41.121345,0 days 00:02:37.387503,3,16,64,4,0.3738167152482914,5.0,1.4786531367127345,huber,0.0028666114649333976,0.0,group,16,4,31,31,0.01,,,,PRUNED
12,0.9635645173554934,2026-05-26 00:10:41.283308,2026-05-26 00:24:38.256263,0 days 00:13:56.972955,3,16,32,4,0.36716665872885423,5.0,0.8549294943258049,huber,0.0025882290233322047,0.5,group,16,16,15,31,0.001,"[{'trial': 12, 'fold': 1, 'best_epoch': 4, 'best_val_loss': 0.18865251940275943, 'best_val_rmse': 0.6366062390478482, 'best_val_nrmse': 0.9564335340553091, 'best_val_mae': 0.5064437706910428, 'best_val_r2': 0.08523489493447212}, {'trial': 12, 'fold': 2, 'best_epoch': 1, 'best_val_loss': 0.32198402285575867, 'best_val_rmse': 0.8876793745205819, 'best_val_nrmse': 0.9818322126536765, 'best_val_mae': 0.6846295621778283, 'best_val_r2': 0.036005506195585624}, {'trial': 12, 'fold': 3, 'best_epoch': 18, 'best_val_loss': 0.23231104829094626, 'best_val_rmse': 0.7182232927743457, 'best_val_nrmse': 0.9598265768300162, 'best_val_mae': 0.5588479779914699, 'best_val_r2': 0.07873294241077322}, {'trial': 12, 'fold': 4, 'best_epoch': 20, 'best_val_loss': 0.26932937900225323, 'best_val_rmse': 0.7887252414289829, 'best_val_nrmse': 0.9148972058449323, 'best_val_mae': 0.612313078760746, 'best_val_r2': 0.16296310273713555}, {'trial': 12, 'fold': 5, 'best_epoch': 2, 'best_val_loss': 0.2985685413533991, 'best_val_rmse': 0.8686894112289556, 'best_val_nrmse': 1.0048330573935327, 'best_val_mae': 0.6279766896993599, 'best_val_r2': -0.009689473230834578}]",0.9635645173554934,0.033429520712403356,COMPLETE
13,1.0031612434417791,2026-05-26 00:24:38.415682,2026-05-26 00:26:50.310888,0 days 00:02:11.895206,3,8,8,4,0.3458335555565518,5.0,0.8372271584995503,huber,2.4609855650660783e-05,0.5,group,8,16,15,31,0.0,,,,PRUNED
14,0.9182038658445494,2026-05-26 00:26:50.470418,2026-05-26 00:39:28.560964,0 days 00:12:38.090546,3,12,64,4,0.24105245223196706,5.0,0.46412740643668404,huber,0.0010929185450985139,0.5,group,4,16,15,31,0.0001,"[{'trial': 14, 'fold': 1, 'best_epoch': 19, 'best_val_loss': 0.12212565984754335, 'best_val_rmse': 0.5437897404607078, 'best_val_nrmse': 0.8169865630436631, 'best_val_mae': 0.43961521042954355, 'best_val_r2': 0.33253295580610276}, {'trial': 14, 'fold': 2, 'best_epoch': 2, 'best_val_loss': 0.22072340902828036, 'best_val_rmse': 0.8777497659746925, 'best_val_nrmse': 0.9708494075900117, 'best_val_mae': 0.679824194028264, 'best_val_r2': 0.05745142778212331}, {'trial': 14, 'fold': 3, 'best_epoch': 14, 'best_val_loss': 0.17589819228107278, 'best_val_rmse': 0.7107721292523177, 'best_val_nrmse': 0.9498689148484298, 'best_val_mae': 0.5557095760225572, 'best_val_r2': 0.09774904460466627}, {'trial': 14, 'fold': 4, 'best_epoch': 20, 'best_val_loss': 0.1900853088923863, 'best_val_rmse': 0.7771088302055643, 'best_val_nrmse': 0.9014225233927816, 'best_val_mae': 0.6057903352858764, 'best_val_r2': 0.18743743432019}, {'trial': 14, 'fold': 5, 'best_epoch': 5, 'best_val_loss': 0.19083747098391707, 'best_val_rmse': 0.8229212064196022, 'best_val_nrmse': 0.9518919203478611, 'best_val_mae': 0.5833457626656375, 'best_val_r2': 0.09390177197646143}]",0.9182038658445494,0.06212018442317936,COMPLETE
15,0.9592521559513016,2026-05-26 00:39:28.721715,2026-05-26 00:49:40.478943,0 days 00:10:11.757228,2,12,64,4,0.37319571577124855,5.0,0.43567797680917325,huber,0.0012568393447992842,0.5,group,4,16,15,31,0.0001,"[{'trial': 15, 'fold': 1, 'best_epoch': 22, 'best_val_loss': 0.12767444639688447, 'best_val_rmse': 0.6207658246970258, 'best_val_nrmse': 0.9326349870898923, 'best_val_mae': 0.46960528425517534, 'best_val_r2': 0.1301919808558364}, {'trial': 15, 'fold': 2, 'best_epoch': 6, 'best_val_loss': 0.2047008446284703, 'best_val_rmse': 0.8745554337446513, 'best_val_nrmse': 0.9673162644626678, 'best_val_mae': 0.6569478611151377, 'best_val_r2': 0.06429924450599012}, {'trial': 15, 'fold': 3, 'best_epoch': 21, 'best_val_loss': 0.17186510698361832, 'best_val_rmse': 0.725538948105904, 'best_val_nrmse': 0.9696031469925269, 'best_val_mae': 0.5675846066918563, 'best_val_r2': 0.05986973734218837}, {'trial': 15, 'fold': 4, 'best_epoch': 8, 'best_val_loss': 0.20512554617155165, 'best_val_rmse': 0.8421774271515853, 'best_val_nrmse': 0.9769001097653294, 'best_val_mae': 0.6592277534572142, 'best_val_r2': 0.04566617554048724}, {'trial': 15, 'fold': 5, 'best_epoch': 11, 'best_val_loss': 0.1857871865345673, 'best_val_rmse': 0.8211181396283804, 'best_val_nrmse': 0.949806271446092, 'best_val_mae': 0.5903410938229751, 'best_val_r2': 0.09786804672167271}]",0.9592521559513016,0.01789777603309422,COMPLETE
16,0.986074693007593,2026-05-26 00:49:40.646392,2026-05-26 00:50:51.308394,0 days 00:01:10.662002,2,12,64,4,0.20032512216035098,5.0,0.30644550140240334,huber,0.001124061111756252,0.5,group,4,16,15,95,0.0001,,,,PRUNED
17,0.9701845217833874,2026-05-26 00:50:51.466618,2026-05-26 00:58:18.940332,0 days 00:07:27.473714,2,12,64,4,0.30430510685693857,5.0,0.5629617988307718,huber,0.0012091459198443118,0.5,group,4,16,15,31,0.0001,"[{'trial': 17, 'fold': 1, 'best_epoch': 11, 'best_val_loss': 0.15504499078295858, 'best_val_rmse': 0.6305754248969907, 'best_val_nrmse': 0.9473728737322772, 'best_val_mae': 0.4838578809230101, 'best_val_r2': 0.10248463811624697}, {'trial': 17, 'fold': 2, 'best_epoch': 10, 'best_val_loss': 0.24260500641096205, 'best_val_rmse': 0.8830926268225916, 'best_val_nrmse': 0.9767589657466678, 'best_val_mae': 0.648816378343673, 'best_val_r2': 0.04594192283349985}, {'trial': 17, 'fold': 3, 'best_epoch': 10, 'best_val_loss': 0.19998167048801074, 'best_val_rmse': 0.7206282238389269, 'best_val_nrmse': 0.9630405031596853, 'best_val_mae': 0.5641404152847826, 'best_val_r2': 0.07255298927394016}, {'trial': 17, 'fold': 4, 'best_epoch': 6, 'best_val_loss': 0.2391636740593683, 'best_val_rmse': 0.8435006378189964, 'best_val_nrmse': 0.9784349937512474, 'best_val_mae': 0.6523904049591649, 'best_val_r2': 0.04266496300299627}, {'trial': 17, 'fold': 5, 'best_epoch': 2, 'best_val_loss': 0.2279124166816473, 'best_val_rmse': 0.8518160680209507, 'best_val_nrmse': 0.9853152725270595, 'best_val_mae': 0.6254124427637593, 'best_val_r2': 0.029153813724926425}]",0.9701845217833874,0.015096700865498858,COMPLETE
18,0.9848829460603585,2026-05-26 00:58:19.099422,2026-05-26 00:59:38.273093,0 days 00:01:19.173671,2,12,64,8,0.40419719293585743,5.0,0.5173468417595641,huber,0.0002714695938179767,0.5,group,4,4,15,31,0.0001,,,,PRUNED
19,0.9775437062128866,2026-05-26 00:59:38.432811,2026-05-26 01:06:15.300161,0 days 00:06:36.867350,2,12,64,2,0.5478684057508009,0.5,0.5223227615632107,huber,0.00016438093714690407,0.5,group,4,16,7,31,0.0001,"[{'trial': 19, 'fold': 1, 'best_epoch': 3, 'best_val_loss': 0.15007734224421992, 'best_val_rmse': 0.622593008231965, 'best_val_nrmse': 0.9353801370719336, 'best_val_mae': 0.48739135992668925, 'best_val_r2': 0.12506399917129074}, {'trial': 19, 'fold': 2, 'best_epoch': 11, 'best_val_loss': 0.23648313113621303, 'best_val_rmse': 0.8724460492087808, 'best_val_nrmse': 0.9649831453820203, 'best_val_mae': 0.6675549245306424, 'best_val_r2': 0.06880752912862265}, {'trial': 19, 'fold': 3, 'best_epoch': 3, 'best_val_loss': 0.201786640396511, 'best_val_rmse': 0.747665745486667, 'best_val_nrmse': 0.9991731823838209, 'best_val_mae': 0.6014529154635966, 'best_val_r2': 0.0016529516049876847}, {'trial': 19, 'fold': 4, 'best_epoch': 8, 'best_val_loss': 0.2341660935254324, 'best_val_rmse': 0.855819160295931, 'best_val_nrmse': 0.9927241038269774, 'best_val_mae': 0.6602000332925291, 'best_val_r2': 0.01449885368092474}, {'trial': 19, 'fold': 5, 'best_epoch': 5, 'best_val_loss': 0.21703862030567092, 'best_val_rmse': 0.8605845368018049, 'best_val_nrmse': 0.9954579623996811, 'best_val_mae': 0.6174498196606609, 'best_val_r2': 0.009063445095075173}]",0.9775437062128866,0.0271787303647854,COMPLETE
20,0.9899183778852371,2026-05-26 01:06:15.460588,2026-05-26 01:08:04.396094,0 days 00:01:48.935506,2,12,16,4,0.25782726799926986,5.0,0.3921191025359734,huber,0.0013711863455836246,0.5,group,4,16,15,95,0.01,,,,PRUNED
21,0.954732562820953,2026-05-26 01:08:04.553754,2026-05-26 01:19:03.446846,0 days 00:10:58.893092,3,12,48,4,0.40317421596598135,5.0,0.6876999298326544,huber,0.0018750233321631828,0.5,group,4,16,15,31,1e-05,"[{'trial': 21, 'fold': 1, 'best_epoch': 14, 'best_val_loss': 0.16474379227466193, 'best_val_rmse': 0.6118287151011428, 'best_val_nrmse': 0.9192079252882132, 'best_val_mae': 0.4706831583309741, 'best_val_r2': 0.15505679008733864}, {'trial': 21, 'fold': 2, 'best_epoch': 5, 'best_val_loss': 0.27828342290151686, 'best_val_rmse': 0.8791331239944968, 'best_val_nrmse': 0.9723794932318126, 'best_val_mae': 0.6735108118681681, 'best_val_r2': 0.05447812114224326}, {'trial': 21, 'fold': 3, 'best_epoch': 13, 'best_val_loss': 0.22468346966938538, 'best_val_rmse': 0.7310368610536642, 'best_val_nrmse': 0.9769505040296037, 'best_val_mae': 0.5903464047322896, 'best_val_r2': 0.04556771267630311}, {'trial': 21, 'fold': 4, 'best_epoch': 14, 'best_val_loss': 0.24878612870261782, 'best_val_rmse': 0.800178365867459, 'best_val_nrmse': 0.9281824806105422, 'best_val_mae': 0.6288616860817585, 'best_val_r2': 0.13847728268766013}, {'trial': 21, 'fold': 5, 'best_epoch': 1, 'best_val_loss': 0.252743347928944, 'best_val_rmse': 0.8445776355819935, 'best_val_nrmse': 0.9769424109445936, 'best_val_mae': 0.6197915550914, 'best_val_r2': 0.04558352569776469}]",0.954732562820953,0.02857111808874515,COMPLETE
22,0.9715305019481156,2026-05-26 01:19:03.607929,2026-05-26 01:21:57.516067,0 days 00:02:53.908138,3,12,48,4,0.41932867149136416,5.0,0.6683422483236235,huber,0.0007065265515685219,0.5,group,4,16,15,31,1e-05,,,,PRUNED
